mar_taxa_name,tonnes
placopecten magellanicus,18460080.24
netuma thalassina,7320677.163
laemonema longipes,4861062.76
pseudopleuronectes herzensteini,2643381.698
metacarcinus magister,1432507.548
ethmidium maculatum,1410168.356
pseudopleuronectes americanus,1149930.438
farfantepenaeus aztecus,1148242.525
farfantepenaeus californiensis,1142259.404
oreosomatidae,1121417.919
zygochlamys patagonica,1036099.608
argopecten purpuratus,993160.7758
ruvettus pretiosus,860360.427
alopias superciliosus,833407.1045
farfantepenaeus notialis,711545.7578
aequipecten opercularis,705616.1586
anodontostoma chacunda,679745.6606
pseudopentaceros wheeleri,671331.3
argopecten gibbus,666217.9461
farfantepenaeus duorarum,598306.2386
kajikia audax,573297.2907
macroramphosus scolopax,556695.9408
argopecten irradians,555874.5216
farfantepenaeus subtilis,531049.8416
sciaenops ocellatus,440333.2678
galeorhinus galeus,436724.4928
rhomboplites aurorubens,379918.4732
cetorhinus maximus,356757.5216
pteroscion peli,342477.9434
istiompax indica,323554.2758
pterogymnus laniarius,294768.5561
genyatremus luteus,286601.0436
pentheroscion mbizi,281625.7339
farfantepenaeus brevirostris,251799.3615
farfantepenaeus brasiliensis,250210.8774
alopias vulpinus,231087.8837
asterias rubens,206464.2578
isacia conceptionis,205890.4798
chaceon maritae,196074.1798
lampanyctodes hectoris,188839.7
aetobatus narinari,172308.6617
cyclopsetta querna,163834.0448
farfantepenaeus paulensis,154921.7387
aspistor quadriscutis,152661.1321
rhynchobatus djiddensis,148528.4093
batrachoididae,148217.1709
tautoga onitis,135341.9548
acanthocardia tuberculata,130683.4998
kathetostoma giganteum,123969.4407
glycymeris glycymeris,116520.8467
tawera gayi,111494.619
moolgarda seheli,103181.7506
harengula clupeola,95190.96014
ginglymostoma cirratum,89188.55294
paralomis granulosa,88574.45238
trichopsetta caribbaea,79964.87449
epigonus telescopus,78596.76093
haliporoides triarthrus,75267.5
plesiopenaeus edwardsianus,74867.26434
kajikia albida,71118.6736
martialia hyadesi,70259.46766
caulolatilus princeps,69072.28309
totoaba macdonaldi,66993.51671
siliqua patula,65795.23213
austroglossus microlepis,63346.93788
chaceon notialis,53005.32999
zearaja chilensis,51972.04882
naucrates ductor,50767.40609
chaetodipterus faber,44250.64163
protrachypene precipua,42619.50038
petromyzon marinus,41700.75773
argopecten ventricosus,39957.25
dorosoma cepedianum,39222.32598
sphoeroides maculatus,38860.0016
joturus pichardi,38544.371
citharichthys sordidus,37704.43484
enoplolambrus validus,37637.27261
lachnolaimus maximus,34884.63868
choromytilus chorus,33744.63333
nematopalaemon schmitti,33331.2859
austroglossus pectoralis,33216
amphiarius phrygiatus,30526.55065
hexanchus griseus,26193.93657
holocentrus adscensionis,26096.64512
leukoma staminea,25882.11918
pseudochaenichthys georgianus,25400.12425
eucinostomus gracilis,25396.88541
orthopristis chrysoptera,25106.02793
meuschenia scaber,24317.08633
callista chione,23629.07743
haliporoides diomedeae,21631.41976
austroglossus,21386.77746
mactromeris polynyma,21045
muraena helena,20748.55546
tautogolabrus adspersus,20414.5228
haliporoides sibogae,19876.53152
argyrozona argyrozona,19753
gymnosarda unicolor,19677.65282
zidona dufresnei,19281.83463
hyporthodus flavolimbatus,19195.92416
hyporthodus nigritus,17061.32983
chaetodipterus zonatus,16559.74979
hyporthodus niveatus,16072.13249
plagiogeneion rubiginosum,15369.32901
negaprion brevirostris,15044.79414
psettichthys melanostictus,14252.19675
goneplax rhomboides,13798.72252
pseudocyttus maculatus,13648.07141
sagmariasus verreauxi,13362.91984
somniosus microcephalus,13188.54594
harengula jaguana,12746.05284
leptoscarus vaigiensis,12634.06872
neocyttus rhomboidalis,12368.94487
bollmannia chlamydes,12172.70999
hipposcarus longiceps,11713.13333
eucinostomus argenteus,11511.54967
scorpaenichthys marmoratus,11338.04628
carcharodon carcharias,11012.2619
petromyzontidae,10653.96136
zenarchopterus dispar,10650.713
hyporthodus mystacinus,10222.6203
bairdiella ronchus,9746.043053
echidna nebulosa,9039.074366
microgadus tomcod,8776.586774
ctenosciaena gracilicirrhus,8141.43476
schedophilus pemarco,7895.877864
rhincodon typus,7780.285501
clinocardium nuttallii,7460.913158
centrolophus niger,7136.688692
lepidocybium flavobrunneum,7071.442317
halargyreus johnsonii,6514.841091
campogramma glaycos,6309.792352
cheilopogon unicolor,5555.273351
pterygotrigla polyommata,5273.606684
engyophrys sanctilaurentii,5223.570974
pronotogrammus eos,5223.570974
hippopus hippopus,5032.325154
nezumia aequalis,4974.205985
pristidae,4797.214376
pseudopentaceros richardsoni,4544.17474
neritidae,4154.641315
terebridae,4021.87719
bolbometopon muricatum,3793.508868
bairdiella chrysoura,3598.559237
asaphis violascens,3462.576494
bathygobius soporator,3456.278159
chaceon affinis,3429.718347
benthodesmus,3353.621289
hoplopagrus guentherii,3105.6335
herklotsichthys quadrimaculatus,3102.644724
hippocampus,2893.812731
epigonus,2829.611188
vimba,2773.677104
rostroraja alba,2508.681578
alepisaurus ferox,2479.794051
liocarcinus depurator,2384.348434
notorynchus cepedianus,2272.760636
oxynotus centrina,2235.327984
zearaja nasuta,2149.525
pterygotrigla,2029.157766
dorosoma,1821.851556
gymnocephalus cernua,1791.635396
dosinia,1678.307129
holocentrus rufus,1619.78637
uraspis secunda,1600.247483
lunarca ovalis,1555.740529
scomberesocidae,1514.75
cheimerius nufar,1500
microchirus variegatus,1395.657679
microgadus proximus,1382.992803
cantherhines,1381.145956
trigloporus lastoviza,1363.851308
cephaloscyllium isabellum,1321.705808
pollicipes pollicipes,1240.500641
chione stutchburyi,1206.366072
aethaloperca rogaa,1152.441201
gnathodentex aureolineatus,1127.716897
parribacus caledonicus,1118.734795
gymnocranius grandoculis,1108.623441
rioraja agassizii,1096
promethichthys prometheus,1064.845432
schedophilus ovalis,1013.28046
scymnodon ringens,985.9683412
zebrasoma flavescens,952.225595
sympterygia bonapartii,930
caulolatilus chrysops,923.2192548
paralomis spinosissima,910.0787348
pterothrissus belloci,856
myliobatis aquila,844.5185051
paranthias furcifer,783.6814352
chionodraco rastrospinosus,773.826525
pentaceros decacanthus,754.5518763
sclerocrangon,739.7
sphoeroides,703.4274868
taractichthys steindachneri,652.6089948
parapsettus panamensis,618.8889504
centriscops humerosus,538.6198983
paristiopterus labiosus,532.8462891
atlantoraja cyclophora,484.3612526
rhombosolea,463.0632761
odontognathus mucronatus,424.8014493
paracirrhites hemistictus,346.1166341
aplodactylus punctatus,326.447619
allocyttus niger,300.780875
capromimus abbreviatus,282.7761806
upogebia pugettensis,271.8453826
regalecus glesne,244.6754276
enchelyopus cimbrius,243.5616988
diodon hystrix,186.0288566
torpedo,171.7263787
tripterophycis gilchristi,168.6657902
nototheniops larseni,162.5830345
heptranchias perlo,157.8528649
notopogon lilliei,145.7795888
paratrachichthys trailli,142.9202291
ciliata mustela,133.763301
diastobranchus capensis,119.5717036
harengula humeralis,118.8723845
echinorhinus brucus,117.6972658
cittarium pica,108.5072723
atlantoraja castelnaui,106
lepidoperca pulchella,96.67646507
sympterygia acuta,93.25
cirrhitidae,81.79146532
paralomis formosa,80.455487
monodactylus argenteus,68.69852919
paralomis,68.41169187
cymatoceps nasutus,55
ellochelon vaigiensis,52.36133392
trachyrincus scabrus,44.17082069
anthias anthias,43.24101857
aulostomus chinensis,34.84197622
uraspis helvola,26.82312425
somniosus pacificus,22.41925
aulostomidae,19.43998968
trachyscorpia cristulata echinata,16.98282641
wattsia mossambica,10.5056
amblyraja hyperborea,10
paracaesio kusakarii,5.806508775
amblyraja georgiana,3.971235994
paracaesio stonei,3.055421051
oxynotus paradoxus,3.054074535
conidae,2.316037764
rhinochimaera atlantica,2.25
paracirrhites forsteri,2.24775037
muraenolepis,1.492904523
novaculichthys taeniourus,0.692360515
sphoeroides marmoratus,0.666906722
cheilio inermis,0.605635074
symphorichthys spilurus,0.429268274
anomalops katoptron,0.318855931
muraenolepis microps,0.296598238
chitonidae,0.23020049
bellator militaris,0.19479
cypraeidae,0.191161011
paracaesio xanthura,0.1163
hexabranchus sanguineus,0.077541579
zanclorhynchus spinifer,0.051006
archaeogastropoda,0.017268439
daldorfia horrida,0.007039826
paralomis aculeata,0.00667
tectus pyramis,0.003651458
neopagetopsis ionah,0.001908
bathydraconidae,0.00109
antennatus coccineus,0.000938946
chionobathyscus dewitti,0.00061
corythoichthys intestinalis,0.000131543